3.7, 3.6, 3.6, 3.6, 3.3, 3.6, 3.6, 3.6, 3.4, 3.6, 3.2, 3.4, 3.4, 3.7, 3.4, 3.7, 3.7, 3.7, 3.5, 3.7, 3.7, 3.7, 3.7, 3.5, 3.7, 3.5, 4.0, 3.8, 3.8, 4.0, 4.2, 4.1, 4.0, 4.3, 4.1, 4.4, 4.2, 4.0, 4.1, 4.3, 4.3, 4.5, 4.2, 3.9, 4.0, 3.8, 3.8, 3.9, 3.6, 3.5, 3.7, 3.5, 3.7, 3.6, 3.4, 3.5, 3.7, 3.7, 3.6, 4.0, 4.2, 4.2, 4.4, 4.6, 6.8, 4.7, 5.2, 4.9, 5.5, 4.9, 4.8, 4.8, 4.7, 4.6, 4.8, 4.3, 4.7, 4.2, 4.5, 4.3, 4.2, 4.4, 4.2, 4.4, 4.3, 4.1, 3.9, 3.9, 3.9, 4.1, 3.7, 
3.8, 4.0, 3.8, 4.0, 3.4, 3.6, 3.4, 3.8, 3.4, 3.6, 3.8, 3.8, 3.4, 3.8, 3.2, 3.4, 3.6, 3.8, 3.7, 3.8, 3.7, 3.5, 3.7, 3.9, 4.3, 3.7, 4.3, 4.2, 4.0, 4.5, 3.9, 4.3, 4.1, 4.5, 4.4, 4.6, 4.5, 4.8, 4.9, 5.2, 4.8, 5.0, 5.0, 5.0, 5.1, 4.7, 4.7, 4.4, 4.6, 4.1, 4.3, 4.1, 3.9, 4.0, 3.7, 3.7, 3.6, 3.8, 3.6, 3.6, 3.4, 3.6, 3.8, 4.0, 4.0, 4.2, 4.5, 4.4, 4.5, 4.2, 4.7, 4.1, 4.8, 4.5, 4.3, 4.3, 4.5, 4.5, 4.5, 4.4, 4.2, 4.2, 4.0, 4.4, 4.0, 4.0, 3.8, 3.8, 3.7, 4.1, 3.9, 
4.0, 4.2, 4.0, 4.0, 3.8, 3.8, 3.6, 3.6, 3.6, 3.6, 3.4, 3.6, 3.6, 3.4, 3.4, 3.4, 3.6, 3.6, 3.4, 3.6, 3.4, 4.0, 3.4, 3.7, 3.9, 4.2, 3.6, 4.0, 3.9, 4.0, 4.5, 4.3, 4.5, 4.0, 4.2, 4.3, 4.5, 4.2, 4.6, 4.9, 5.0, 5.0, 4.8, 5.2, 5.1, 5.2, 4.8, 4.8, 4.8, 4.4, 4.1, 4.3, 3.9, 4.0, 3.7, 3.6, 3.8, 3.6, 3.6, 3.6, 3.6, 3.4, 3.8, 3.6, 4.2, 4.2, 4.1, 4.4, 4.3, 4.9, 4.5, 4.8, 4.9, 4.8, 4.6, 4.8, 4.3, 4.3, 4.2, 4.3, 4.2, 4.3, 4.2, 4.2, 4.2, 3.8, 4.0, 3.9, 4.0, 4.0, 4.4, 
4.1, 4.0, 3.7, 3.6, 3.8, 3.6, 3.9, 3.3, 3.7, 3.4, 3.3, 3.2, 3.3, 3.5, 3.3, 3.3, 3.3, 3.5, 3.8, 3.6, 3.8, 3.8, 3.8, 3.8, 3.6, 3.9, 3.9, 4.1, 4.2, 3.9, 4.4, 4.0, 4.4, 4.1, 4.5, 4.6, 4.7, 5.0, 5.1, 4.8, 5.5, 6.2, 7.0, 7.1, 6.2, 5.8, 5.4, 5.3, 6.9, 6.1, 4.7, 4.7, 4.6, 4.1, 4.2, 4.0, 3.8, 3.7, 3.9, 3.7, 3.7, 3.7, 3.8, 3.5, 3.8, 3.7, 4.1, 4.1, 4.0, 4.4, 4.6, 4.8, 4.8, 4.8, 4.7, 5.1, 4.3, 4.7, 4.2, 4.6, 4.1, 4.4, 4.1, 4.0, 4.1, 4.1, 4.1, 4.1, 4.0, 3.8, 3.8, 
5.7, 5.0, 6.2, 4.0, 4.0, 4.2, 3.6, 3.6, 3.8, 3.6, 3.8, 3.8, 3.6, 3.6, 4.0, 4.1, 4.0, 3.7, 3.7, 3.7, 3.3, 4.0, 4.0, 3.9, 4.0, 4.0, 3.9, 4.1, 4.3, 4.1, 4.7, 4.2, 4.2, 4.9, 4.5, 4.8, 4.8, 5.4, 5.4, 5.9, 6.2, 8.1, 7.4, 7.7, 8.0, 6.8, 8.1, 7.5, 7.8, 7.0, 6.1, 4.9, 4.8, 4.4, 4.2, 4.5, 4.1, 4.0, 3.9, 3.9, 3.5, 3.7, 3.8, 4.0, 4.0, 3.9, 4.1, 4.1, 4.3, 4.3, 4.5, 4.4, 4.6, 4.5, 4.6, 4.5, 4.7, 4.5, 4.6, 4.7, 4.1, 4.6, 4.2, 4.6, 4.2, 4.0, 4.0, 4.0, 4.0, 4.1, 4.1, 
7.7, 7.4, 7.2, 6.4, 6.2, 5.6, 5.7, 5.0, 5.7, 3.9, 4.0, 4.0, 3.7, 4.2, 3.9, 4.1, 3.7, 4.6, 4.2, 5.7, 3.9, 3.8, 3.7, 3.6, 4.2, 4.2, 4.3, 4.0, 4.2, 4.3, 4.7, 4.1, 4.3, 4.8, 4.4, 4.8, 5.1, 5.4, 6.4, 6.6, 7.5, 7.8, 8.5, 9.0, 9.0, 8.4, 9.4, 9.4, 9.4, 7.6, 7.0, 6.6, 6.2, 5.4, 5.1, 4.6, 4.5, 4.3, 4.1, 3.9, 3.7, 3.6, 3.7, 3.8, 3.9, 3.8, 3.7, 4.0, 4.1, 4.4, 4.3, 4.0, 4.3, 4.7, 4.9, 4.8, 4.8, 4.6, 4.7, 4.5, 4.3, 4.2, 4.2, 4.4, 4.3, 3.9, 4.2, 4.2, 4.0, 4.2, 4.4, 
5.0, 5.1, 4.5, 4.7, 4.3, 4.5, 4.4, 4.5, 4.1, 4.4, 4.3, 4.3, 4.2, 3.8, 4.2, 3.7, 4.6, 3.8, 4.4, 3.8, 4.1, 3.8, 3.8, 4.3, 4.2, 4.4, 4.1, 4.2, 4.0, 4.6, 4.1, 4.9, 4.8, 4.6, 5.2, 5.4, 7.5, 7.0, 7.2, 6.5, 7.9, 7.6, 11.2, 11.5, 9.7, 9.5, 9.8, 9.6, 8.5, 8.0, 7.4, 6.8, 6.5, 5.8, 5.2, 4.7, 4.5, 4.3, 4.3, 4.1, 3.9, 3.8, 3.7, 3.8, 4.0, 3.8, 4.0, 4.2, 4.4, 4.3, 4.1, 4.7, 4.2, 4.5, 4.3, 4.6, 5.0, 4.5, 4.6, 4.5, 4.5, 4.2, 4.3, 4.5, 4.2, 4.1, 4.4, 4.2, 4.0, 4.1, 4.4, 
3.9, 3.9, 4.1, 4.0, 3.8, 3.8, 3.5, 3.7, 3.5, 4.0, 3.8, 3.7, 3.4, 3.6, 3.6, 3.6, 3.8, 3.3, 3.6, 3.7, 3.8, 4.1, 3.9, 4.0, 3.5, 4.2, 4.0, 4.4, 4.5, 5.8, 4.5, 5.2, 5.4, 6.0, 5.4, 10.8, 10.6, 11.5, 11.9, 12.5, 12.4, 29.9, 29.2, 26.1, 25.3, 21.8, 32.7, 24.7, 27.5, 21.0, 20.5, 15.7, 15.9, 8.2, 7.6, 7.6, 6.9, 6.6, 5.9, 5.5, 4.9, 4.4, 4.3, 4.0, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 4.3, 4.3, 4.4, 4.4, 4.3, 4.8, 4.5, 4.6, 4.3, 4.5, 4.3, 4.4, 4.3, 4.4, 4.3, 4.5, 4.4, 4.4, 4.2, 4.4, 4.2, 
4.1, 4.0, 4.0, 3.9, 3.8, 4.3, 4.1, 4.3, 4.1, 4.0, 3.7, 3.7, 3.8, 4.1, 4.1, 3.7, 4.0, 3.7, 4.1, 3.8, 3.9, 3.8, 4.0, 3.9, 4.5, 4.3, 4.6, 4.2, 4.4, 4.6, 4.2, 4.9, 4.5, 4.6, 4.8, 6.2, 9.0, 9.5, 20.6, 7.9, 8.0, 7.8, 12.4, 13.1, 24.0, 10.6, 10.6, 10.2, 9.2, 9.5, 8.1, 7.9, 7.5, 6.4, 6.3, 5.5, 4.9, 4.5, 4.4, 3.8, 3.9, 4.0, 3.8, 3.8, 3.9, 4.0, 4.0, 4.2, 4.1, 4.3, 4.3, 4.5, 4.3, 4.5, 4.4, 4.4, 4.6, 4.3, 4.6, 4.2, 4.2, 4.5, 4.3, 4.3, 4.2, 4.1, 4.2, 4.0, 4.4, 4.2, 4.4, 
3.7, 3.9, 3.3, 3.9, 3.5, 3.7, 3.9, 3.9, 3.7, 3.2, 3.5, 3.2, 3.3, 3.9, 3.8, 3.3, 3.7, 3.8, 3.8, 3.8, 3.6, 3.7, 3.6, 3.9, 3.7, 3.9, 3.9, 4.2, 4.2, 4.4, 4.5, 4.5, 4.5, 4.8, 5.0, 4.8, 5.3, 4.9, 4.8, 4.8, 5.1, 5.5, 5.5, 5.4, 5.0, 5.1, 4.7, 4.7, 4.5, 4.8, 4.2, 4.3, 4.0, 3.9, 3.6, 3.9, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 4.3, 4.0, 4.7, 4.8, 5.0, 5.0, 5.1, 5.3, 4.8, 5.0, 4.6, 5.2, 5.0, 5.1, 4.7, 4.5, 4.7, 4.5, 4.4, 4.6, 4.2, 3.9, 4.4, 4.1, 4.2, 4.3, 3.9, 3.9, 4.1, 
