3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.1, 3.2, 3.1, 3.2, 3.0, 3.1, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.1, 3.2, 3.2, 
3.1, 3.2, 3.2, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 2.9, 3.2, 3.2, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 2.8, 3.2, 3.0, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 
2.9, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.1, 3.1, 3.2, 3.2, 3.1, 3.6, 3.1, 3.1, 3.1, 3.2, 3.0, 3.2, 3.1, 3.2, 3.0, 3.6, 3.0, 3.2, 3.1, 3.2, 3.0, 3.6, 3.1, 3.6, 
3.1, 3.2, 3.1, 3.7, 3.1, 3.2, 3.1, 3.2, 3.1, 3.6, 3.1, 3.2, 3.1, 3.2, 3.5, 2.9, 3.5, 3.6, 3.5, 3.2, 3.5, 3.2, 3.5, 3.2, 3.3, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.2, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 
3.2, 3.6, 3.2, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.7, 3.7, 3.6, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.6, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.6, 3.2, 
3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.6, 3.6, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.6, 3.6, 3.6, 3.5, 3.2, 3.5, 3.7, 3.1, 3.7, 3.1, 3.2, 3.5, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 
3.5, 3.7, 3.5, 3.6, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2, 3.2, 3.5, 3.2, 3.5, 3.2, 3.2, 3.2, 3.6, 3.6, 3.5, 3.6, 3.5, 3.2, 3.1, 3.2, 3.1, 3.2, 3.5, 3.2, 3.0, 3.6, 3.5, 3.6, 3.5, 3.6, 3.5, 3.6, 3.1, 3.6, 3.5, 3.6, 3.1, 3.6, 3.1, 3.2, 3.1, 3.2, 
3.5, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.7, 3.6, 3.4, 3.6, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.7, 3.5, 3.6, 3.5, 3.6, 3.5, 3.7, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.7, 
3.6, 3.7, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.4, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.6, 3.6, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.4, 3.6, 3.6, 3.6, 3.6, 3.6, 3.7, 3.7, 3.7, 3.5, 3.7, 3.5, 3.7, 3.6, 3.7, 
3.6, 3.7, 3.5, 3.6, 3.6, 3.6, 3.6, 3.7, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 3.6, 3.7, 
